performance_id,age_group,ability_group,title_piece_1,composer_piece_1,title_piece_2,composer_piece_2,mark,feedback
GQDAAGxx,13-15,Grade 5 and above,Alla Turca,W.A. Mozart,Under the Dreaming Cherry Tree,Eri Kiyama,83,"’Alla Turca’ started with a light and clear tone which was maintained across the course of the piece. Semiquavers were evenly played for the majority, their articulation precise, and most of the wider dynamic contrasts were defined. The quieter playing in the episodes saw small blemishes of evenness, and pitch centring in the octaves was not consistently secure, with some confidence lost towards the end. However, the overall character of the music was maintained, and musical variation was apparent throughout.  ’Under the Dreaming Cherry Tree’ saw a suitably delicate melodic tone, and for the majority, the hand balance was well controlled, allowing the melody to sing. Dynamic contrasts were evident, although there was scope for greater control of tonal graduation and phrasing, with even more flexibility of both tone and tempo needed to enhance the expressive character. Nevertheless, although the central section saw some harmonic blurring and slips of technical control, the outer sections saw appropriate simplicity and poise, with overall playing accurate.  This was a controlled and poised performance, with your focus maintained throughout and with the contrasts of style clearly defined. Further dynamic width and tonal control would have added to the musical shaping, but musical intention was clear throughout.  Congratulations on this excellent performance. I particularly enjoyed the delicacy of your second piece, and I wish you all the best for your future musical ventures."
GVjqPKEW,10-12,Up to Grade 5,Swans and Ducks,Fanny Waterman & Marion Harewood,The Waltz of the Toads,Kerstin Strecke,66,"Swans and Ducks was taken at a suitable tempo and flowed well, with notes and rhythms all securely in place. There was room for a more fluid legato and some musical shaping in the LH to bring the music to life, and the chords could have been a little less prominent in order to allow the melody to be more fully projected, but the RH was crisply articulated and, despite a little hurrying towards the end, the tempo was otherwise maintained.  Waltz of the Toads began well, with the articulation crisp and the tempo well chosen. There was a tendency to hurry as the piece went on, and scope to explore the opportunities for dynamic contrast, but notes and rhythms were otherwise in place, with something of the character conveyed.  Pacing and sequencing were thoughtfully managed in this performance of two effectively contrasted pieces. Characterisation drew largely on the cleanly detached articulation, with room to incorporate dynamic contrasts and a sense of shape in the phrasing. Tempi were not always maintained, but delivery was otherwise accurate and controlled.  I enjoyed your performance - well done!"
GWyOPjrV,13-15,Up to Grade 5,"Waltz, No.2 from Lyriske småstykker, Op.1",Edvard Grieg,"Allegro assai, Third movement from Sonata in G",Georg Benda,78,"The Grieg opened gracefully, with a clear melody and coordinated accompanying chords. The melody was projected at first, though not consistently, with much lighter staccato and clearer ornaments needed - and scope for more sustained legato melodic lines. There was some careful dynamic shaping here, with characterful momentum overall.  The Benda flowed reliably, with a confident tone and neatly coordinated parts. The melody was projected, with mainly secure control - though there were some blemishes and rhythmic inaccuracies. Dynamics were thoughtfully shaped, with steady and reliable flow; scope for bolder forward direction, but there was some stylistic melodic clarity here.  This was a fluent performance, with effective transitions between different styles, and some careful phrasing and dynamic shaping. Technical details were mainly secure, apart from a few slips and untidy moments; overall reliable continuity and some thoughtful details here.  I particularly liked the stylistic lightness you achieved in the Benda."
GXYNoypr,10-12,Up to Grade 5,"Invention No 8 in F Major, BWV779",J.S.Bach,Love Theme,Catherine Rollin,85,"The first piece began with clean, crisp lines and the hands worked well together, with phrases arching and well articulated. Occassionally there was scope for even tighter rhythmic control and for the playing to be even more vibrant. A few moments where tone needed more nourishment in the left hand, but otherwise this was an engaging and positive performance.  The Love Theme was soft, smooth and sincere from the start. Lines were arching and expressive, with the pedal well controlled. Tone was sometimes clipped and right hands notes needed to be even more tightly coordinated in parts. There was a strong sense of cohesion overall and phrases flowed well.  This was an assured performance, where textures were well managed and lines confidently projected. The different musical identities of the pieces came across mostly effectively, just leaving room for even more vivid portrayal. There was some inconsistency of tone control and the need for tighter rhythmic coordiation in parts, but otherwise the technical demands of the programme were largely well met.  Thank you for playing - I really enjoyed the strong sense of poise, as well as the energy of the first piece. Well done."
GXggDkKV,10-12,Up to Grade 5,Springtime In My Heart,Martha Mier,Tarantelle,Burgmuller,78,"Springtime in my Heart had a flowing tempo, allowing semiquavers plenty of momentum. This was played with resilient dialogue between hands and with controlled pedalling, though there was room for futher expressive direction in the phrasing overall. Softer playing was a little strong at times, but the end was especially well paced.   The Tarantella danced from the first note, at an excitingly ambitious tempo. Keeping all triplet quavers under control was a persistent challenge, causing moments of breathless and disorganised dialogue, and there was a tendency to clip rests. However, musical intentions were clear and were delivered with determination.  This was a poised and carefully paced performance, which explored two contrasting musical styles. There was room for even more refined musical detail, and faster playing was not fully controlled in the Tarantella. However, your enjoyment and sense of accomplishment was obvious and was shared.  Well done, this was spirited and determined playing."
GbDYQNWE,13-15,Grade 5 and above,SONATA in C,Mozart,Moment Musicaux No.3,Schubert,90,"The Mozart was stylishly presented, with poise and shape underpinning the passagework and phrasing in both hands. This revealed strong engagement and understanding of the nuanced detail, and this was supported by largely very adept playing and technical security. There was some untidiness where rhythms moved between the hands, not disruptive to continuity but with scope for a little more firmness in the pulse and rhythmic clarity. Dynamic range was sufficiently wide to allow purposeful direction, though there was room for a little more lightness at times. Emphasis provided very compelling ends to key sections.   The light, juanty character of the Schubert came across well, thanks to detached, even left-hand detail which underpinned a well sustained pulse. Notes were securely in place and tempo was judged well, so that the playing was clear and intricate in detail, though there was scope to find opportunities for greater lyricism and shape in the melody line. The closing section was particularly poised, with good tonal control underpinning the voicing of the final chords.   This was an assured performance and the characteristics of the two pieces came across very well. There was a need to make more of the lyrical aspect of the Schubert, to set it in starker contrast against the Mozart, but the intricacies of the technical detail of each piece were clearly and adeptly projected. There was effective and positive direction, with tidy articulation and focused emphasis, and tonal balance between the hands was very well managed.   Well done indeed! I enjoyed hearing your performance very much, and you demonstrated much musical insight and technical security in these two pieces. I wish you continued fulfilment in your piano studies."
GexazVyR,7-9,Up to Grade 5,Lightly Row,Franz Wiedemann,Forest Song,Nancy and Randall Faber,68,"Lightly Row was played at a suitable tempo with notes and rhythms securely in place. There was room to make more of the contrasts in articulation, with some of the RH needing to be more legato and scope to lighten the staccato notes, particularly in the LH, but this otherwise flowed well.  Forest Song was confidently presented, with the rests accurately counted and notes all in place, although the RH in the middle section was played an octave higher than written. More could have been made of the contrasts in articulation, with a smoother RH sometimes needed, and opportunities to explore the dynamic contrasts were not always taken, despite a sensitively managed ending.  This was an engaging performance, effectively delivered, although there was room to take just a little more time at the end of the first piece before turning the page to locate the second. More could have been made of the contrasts in character between the two pieces, with room to draw on a wider range of dynamics and articulation, and to vary the tone colour, but all was securely delivered.  A committed and enjoyable performance - well done."
GkYWKRYE,10-12,Up to Grade 5,Sparkling Splashes and Smooth Water,Barbara Arens,A Little Song,D. B. Kabalevsky,76,"The tempo was sprightly and there was energy in the mostly crisp staccato detail of the Arens. More vibrancy in the dynamic contrast and further tempo detail would have added character but the notes were very assured.   The melodic line was well projected in A Little Song and the notes were reliable. Softer tonal colours and more expressive shaping would have supported the initial gentle mood but the ending was sensitively realised.   There was a clear sense of performance in this presentation with attention to most of the musical detail, if more nuances of character to explore at times. A strong sense of conviction in the flow was sustained.  Well done on an assured and focused performance."
Gpjdzzya,7-9,Up to Grade 5,Study in F,Duvernoy,Angelfish,Gaudet,74,"Articulation achieved variety in the study, with the pulse defined. The approach was rather one-coloured, however, with more detail possible in the phrasing. Although greater contrast between the sections was desirable, with minor hesitation audible, forward flow was sustained, with the tempo lively.  Delicate colours were explored, and use of the pedal supported this watery world of the angelfish. The fast figures in the accompaniment needed more shape and expression, despite this, as well as a lighter, more flexible touch to avoid competition with the melody. There was a brief lapse in focus at one point, but the tone remained natural and unforced, with some soft dynamics realised.  Tempo choices were well judged, with sufficient contrast in colour and mood between the two pieces displayed. Even so, technical control was not always reliable, and there was scope for deeper engagement in the music and subject matter. Sufficient flow was realised, and a clear tone featured, together with a little poetry in places.  There were some really effective changes of dynamic captured in your playing that were exciting to hear. Keep going and well done!"
GvPQMAdo,10-12,Up to Grade 5,Bach Invention in D minor,BWV 775,Adagietto Pianissimo,Alberto Ginastera,67,"The Invention was played with many stylistically appropriate features and generally flowed along steadily. A number of slips did occur as it progressed though and trills were not wholly integrated into the lines, often marring the direction. Some musical phrase shaping helped propel the account to a neat close.  The gentle atmosphere of the Ginastera was beautifully caught with use of a soft tone and well-controlled pedal. Rhythmically this could have been more precise however, particularly at the start and a more flowing line would have enhanced the tonal ambience.  A carefully presented programme there was some feel for the differing moods of the pieces, if not fully controlled in execution.  I especially enjoyed the sensitve approach to the Adagietto. Well done on some good playing."
JKKQPBpz,7-9,Up to Grade 5,Pyramids at Night,Nancy Faber and Randall Faber,A Morning Sunbeam,Florence B. Price,69,"The contrast in articulation between RH and LH in Pyramids at Night was effectively managed and the tempo was apt, capturing the character of this atmospheric piece. There was room to explore more of the rise and fall in the shape of some of the RH phrases, but dynamic contrasts added a little colour. Not all rhythms were secure, with crotchets occasionally played as quavers, causing instablity in the pulse, but pitches were accurately found.  A Morning Sunbeam was taken at a lively pace and played with energy throughout, despite a little slowing in the middle section. There was room to ensure that the important melodic material was consistenly projected from the texture and given more of a sense of shape, and there were a few rhythmically imprecise moments, but notes were accurately found throughout and the character conveyed overall.  This was a committed performance, effectively projected and communicated, although there was room for a little more stillness at the end of the first piece to allow the mood to settle and make more of the contrast with the second. There could have been more rhythmic precision in the delivery, but something of each of the styles was conveyed through colourful contrasts in dynamics and articulation.  I enjoyed your performance of these two contrasted pieces."
JMlVYLnw,13-15,Grade 5 and above,"Sonate No.8 ""Pathetique"" Opus 13 3rd Movement",Ludwig Van Beethoven,Trepac Danse Russe (from the Nutcracker),Pyotr Ilyich Tchaikovsky,80,"The Beethoven was played with elegance of phrasing and much all round vitality. Whilst the highlighting of harmonic changes was not unwelcome, the use of rubato became rather excessive in the context of the style, with a more robust underlying pulse being needed. There were a few note and chordal deviations, eg in some of the more rapid passagework, but the crisp and well-varied articulations added character and buoyancy. At times the swells in tone were overstated but the musical intentions showed much imagination nevertheless.  The Tchaikovsky was tackled at a vital tempo and you whole-heartedly captured the spirit of this exciting ballet variation. There were imprecisions in the rapid chordal placements and greater clarity of articulation was required at times, but the playing had considerable sparkle in terms of dynamic shading and you committed enthusiastically to the closing accelerando to round of the piece with apt flamboyance.  The programme was presented in a confident and professional manner, with care taken to allow time in between the items. The technical element of the work showed a good level of agility and fluidity although there were quite a number of note diversions in the more challenging passagework, with a little more precision being needed at times. The contrasting styles and moods were conveyed with great verve and there was a compelling level of detail throughout in your artistic phrasing, although at times the flexibility of tempo and broad sweeping undulations in tone were over-exaggerated for the musical context. Nevertheless it was a vibrant and wholly-committed performance.  I thoroughly enjoyed listening to your most imaginative interpretations today. Well done and good luck in all your future piano playing!"
JNReQRgw,13-15,Grade 5 and above,Sonata in D Kp 443 L418,D. Scarlatti,First movement from Sonata Op.49 No.2,Beethoven,79,"The Scarlatti was appropriately crisp and detached in presentation, which suited its style, and top lines were generally well projected. There was some shape emanating in the melodic parts, and ornamentation was stylish. There was unease in some of the coordination between the hands, and in the rhythmic momentum as more intricate patterns were navigated, which impeded the flow and sense of pulse. Notes were generally accurate, though, and there were moments of convincing light and shade.  In the Beethoven you accentuated the lyrical, bright nature of the music well, with clear melodic parts largely well supported in terms of tonal balance. Through the playing, a sense of the character and style came through, with contrasts in dynamics and tonal weight often suiting the music, particularly in the development section. Rhythmic balance and precision needed more consistency, with a tendency for quicker patterns such as triplets to lose their stability; early in the movement some tempo instability was felt, but overall there was good continuity with accurate pitches in place.  The performance overall was well paced and stylistically convincing, with clear shape and contrast making up for sometimes less assured technical control. Overall continuity was secure, with the small exception of the end of the Beethoven, and though tempo choices needed to be better supported by rhythmic delivery, there was lots of colour and boldness in your projection.  Thank you very much for sharing your performance! It was really enjoyable to hear your work."
JNdWqNBG,13-15,Grade 5 and above,Juin: Barcarolle,P.I. Tchaikovsky,"Mikrokosmos No. 153, Dance in Bulgarian Rhythm No. 6",Bela Bartok,76,"Tchaikovsky's Barcarolle saw expressive shaping of the melody from the outset, its tone singing suitably over a gentle accompaniment.  Chordal delivery was not consistently even, and although rubato was appropriate in its use, further movement forwards was sometimes needed.  However, the contrasts of character and tempo in the central section were clearly defined and despite some unease of pitch placement here, the drama of the music was found.    The percussive and energetic nature of the Bartok was evident, the tempo chosen ambitious and with tonal variaton in place.  Wider dynamic contrasts were made, and individual phrases saw appropriate shaping.  Delivery was prone to blemish and unevenness, particularly in the central section, with hand coordination and clarity of articulation sometimes compromised, and with not all notes securely centred.  However, the character of the music was retained throughout, rhythmic drive largely consistent.  Personal focus and  stylistic engagement were evident throughout this performance, the time taken between items well judged, and with poise maintained.  Despite the slightly less secure technical delivery of the Bartok and some blemish in the Tchaikovsky, you played with conviction, and this was an enjoyable performance, full of musical intention.  Congratulations on your performance, which saw clear stylistic understanding and differentiation.  I particularly enjoyed the energy of the Bartok."
JVolEnwg,10-12,Up to Grade 5,Tarantella,Agnieszka Lasko,Railroad Blues,David Blackwell,68,"Tarantella was taken at a lively pace and began well, with the LH crisply articulated. There were a couple of retakes and not quite all the quavers were evenly articulated, but notes and rhythms were otherwise in place. Greater attention to the opportunities for dynamic contrast would have brought the music to life more fully, but there was something of the dance character conveyed.  The tempo of Railroad Blues was apt and the LH was largely steadily played throughout, capturing the style, although there were a few moments when chords were retaken and the hands were not quite coordinated. There was room to give the music a greater variety of dynamic colouring but much of this was in place with the ending confidently presented.  Engagement and poise were maintained throughout and the pieces were well contrasted, with the transitiion between the two sensitively managed. Incorporation of more of the musical detail would have helped to characterise the pieces more effectively, but continuity was maintained, with all textures largely in place.  An enjoyable performance - well done!"
JZkKVWDy,10-12,Grade 5 and above,"Romance, from ""Dances of the Dolls""",D. Shostakovich,Valse Etude,W. Gillock,87,"The Romance saw appropriate tonal projection in the melody, with some phrase shaping and dynamic variation in place. The compound lilt was defined, although there was scope for just a little more tonal shaping in the accompaniment, which sometimes became slightly too prominent in the texture, and further harmonic clarity would have enhanced this otherwise accurate and confident account.   The Valse Etude was played at a suitably fluent tempo, the use of rubato controlled and with a high degree of accuracy in place.  Fingerwork was largely even in the quaver movement, and some dynamic contrasts were apparent, although even greater attention to musical details and use of a wider dynamic range would have enhanced this. Nevertheless, despite occasional harmonic and textural blurring, this was an accurate and musically shaped rendition.   The commitment of your playing was evident throughout this performance, and the second piece started to see real engagement which was slightly missing from the Shostakovich.  Technical security and accuracy were highlights, and although use of a wider dynamic range would have enhanced musical characterisation at times, the contrasts of style were clearly defined and suitably paced.   Congratulations on your excellent performance.  I particularly enjoyed seeing the pleasure you conveyed as the Da Capo of the Gillock started."
JaMAvxWM,16-18,Up to Grade 5,Honey,R.N Dett,The Child that is Born on the Sabbath Day,R.R Bennett,69,"Notes were generally accurate in ”Honey” and there was some awareness of the character of the music, and its changing colours. Contrasts of tempo were sometimes overstated, though, with more thought needing to be given to the overall cohesion, the vivid pace changes tending to cause the piece to sound sectionalised. There were some balancing and voicing issues, but the playing was accurate in notes and rhythms, and utilised a wide dynamic range to provide stark mood changes.  The Bennett was positive from the outset and you caught something of the sparkling character of the opening section, contrasting it well with more lyrical dialogue later on. Emphases and articulation helped to direct the flow, though there was scope for more controlled gradation and less overt boldness at times. Technical blemishes became more telling in the second half, and rhythms in general needed to be tidier, but there was character in the playing nonetheless.  The overall performance was well paced and balanced, and evident thought had been given to the communication of these two different characters. Technical delivery did not always convince in the second piece and there was some less cohesively balanced flow in the Dett, but notes were broadly accurate and there were clear expressive statements.  Thank you for sharing your playing, and all good wishes for continued success and enjoyment in your music."
JgLaEEbR,10-12,Grade 5 and above,"Sinfonia No. 15 in B Minor, BWV 801",J.S Bach,May (from the season),Tchaikovsky,85,"The Bach opened with confident stylistic energy and phrasing. Semiquaver passages were reliable and clearly defined, with thoughtful articulation in all parts throughout. At times the pulse became unsteady, slowing through unison semiquavers, with some untidiness between parts. Overall this flowed reliably, with some dynamic shaping and convincing musical direction.  The Tchaikovsky opening was musically shaped, with a clearly projected melodic line. Chords were carefully spread, with effective musical flexibility - though the pulse became unsettled where rhythmic figures were hurried, and long notes sometimes curtailed. The middle section was contrasted in mood, with mostly secure rhythmic control between hands. Sometimes the melody was rather overshadowed by accompanying textures, with parts not always neatly coordinated. Room for a wider dynamic range across the piece, though melodic lines had lyrical shape and direction; careful musical details and warmth in the tone here, with a poised ending.  This was an assured and poised performance. Different musical styles were communicated, with thoughtful musical details and shaping - though dynamic range was limited. Parts were not always balanced and neatly coordinated, but there was fluidity and commitment throughout.  I particularly enjoyed the stylistic clarity you achieved in the Bach"
JoPvwryb,7-9,Up to Grade 5,Always with me,Youmi Kiura and Wakako Kaku,The Muppet show theme,Jim Henson and Sam Pottle,72,"You established a calm sense of flow at the start of Always with Me, and the tonal projection was sensitively gentle. Some slight unevenness of rhythm and tone created bumpiness along the way, and there were some slips of note placement latterly, but the reflective mood of the piece was upheld throughout.  The Muppet Show Theme by contrast brought liveliness and vibrancy to the fore, and while the articulation sometimes needed to be crisper, there was a good sense of character established. A moment of uncertainty was present in the middle section, and pitch accuracy and rhythmical control required greater precision, but moments of buoyancy were effectively achieved.  Your playing showed focus and commitment, and you brought a keen sense of contrast to the two works, engaging well with the styles and moods. There was nonetheless room for more shapely phrasing and vibrant articulation, and there were slips present, but much of the performance conveyed a degree of clarity in the detail.  Well done for achieving such varied and characterful playing!"
JooEbxWe,10-12,Up to Grade 5,Forget Me Not Waltz,Stephen Duro,Daydream,Kristina Arakelyan,83,"The Forget Me Not Waltz began with smooth phrases and textures were well balanced. There was a suitable lilt present in part, and the tone was clean and clear throughout. Whilst there was scope for the lyrical components of the piece to be more expressive, and a wider range of dynamic and tonal colours explored, phrases did move with a sense of direction and the notes were secure in relation to pitch.  The rhythmic components of the second piece were well managed, with a positive sense of flow and lines given space to breathe in relation to the style. There was scope for greater interplay between the hands, but the performance was technically secure and an appropriate mood was created.  A strong sense of poise and control was conveyed throughout the performance, and there was organised pacing between the individual items. The different musical identities of the pieces came across in part, with an appropriate atmosphere created, just leaving room for more vivid and expressive portrayal overall. The technical demands of the programme were robust and positively met throughout.  This was a very assured and well controlled performance - well done."
JrWqOoYx,13-15,Up to Grade 5,Spinning Song,A.Ellmenreich,A Town With An Ocean View(Kiki’s Delivery Service),Joe Hisaishi,79,"’Spinning Song’ was both well paced and fluently managed, a grasp of the musical idea clearly conveyed. Right hand material generally needed more projection, with scope for more consistency in the touch, this would have enhanced the articulation generally. It could also have afforded more defined shaping and phrasing overall, but the notes were reliably managed.  A poised approach was an apt feature in the Hisaishi which set up the musical mood well. The balance between the hands and control of the legato articulation could have been further refined, with scope to differentiate the non-staccato quavers in the left hand accompaniment. Still it was colourful playing and entirely fluent, the character clearly captured.  This was a committed performance which showed a firm grasp of the different musical moods, with a more personal sense of connection with the music achieved in the second piece. More outward projection and a little more poise between items would have enhanced the feeling of performance awareness and control, but the technical elements of the playing were well managed.  Well done! A fluent performance with an admirable sense of sincerity sustained in your approach. I hope that taking part, and this very good result, gives you a well earned sense of confidence as you progress on your musical journey."
JwJDLvWL,7-9,Up to Grade 5,Tarantella Twist,Victoria Proudler,Always with Me,"Youmi Kimura, Wakako Kaku",65,"Tarantella Twist began at a suitable pace and was accurately played at the outset. The tempo was not always successfully maintained as the piece went on, though, with several slightly cautious moments and occasional melodic errors. There was room to make much more of the rise and fall in the shape of the phrases, but something of the dance style was captured in the more fluent sections.  Always with Me was brisk in tempo and secure in notes and rhythms but for a couple of rhythmically imprecise moments. A greater exploration of shape and colour in the phrasing would have brought the music to life more fully, but momentum was maintained and the ending boldly managed.  Engagement and poise were maintained throughout this performance of two effectively contrasted pieces. Delivery was more successfully controlled in the second half of the programme than the first, and the two styles could have been more strongly contrasted through the incorporation of more of the musical detail, but tempi were well chosen.  Congratulations on a good performance."
Jzzkpboj,13-15,Up to Grade 5,"Study in D minor, no.40 from Studies for the piano, op.65",Albert Loeschhorn,Ground Background Music (Super Mario Bros),Koji Kondo,78,"The Loeschhorn began with confident momentum and a projected melody. Melodic semiquavers had reliable clarity, but were sometimes slightly unrhythmic, particularly later on. Fleeting untidiness between hands, and a few blemishes in chords - which needed more lightness at times. There was dynamic variety, but scope for more shaping through phrases; overall this was fluent and assured.    The Kondo was characterful, with bright energy and carefully placed chords. Rhythmic assurance at first, but there were unsteady moments where the pulse slightly hurried. Small blemishes were not disruptive, with crisp repeated note figures; scope for wider dynamic variety, but there was stylistic energy here.    This was a confident performance, with mainly reliable pulse and technical control - though pacing between pieces was rather rushed. Fleeting blemishes and unsteady rhythms were unsettling, but not disruptive - overall there was assured continuity.    I particularly enjoyed the way you engaged with the style of the second piece, and communicated the humorous mood."
KElXlakb,10-12,Up to Grade 5,The Sad Ghost by,Nancy Litten,The Song of Twilight –,Yoshinao Nakada,82,"Sad Ghost was well judged in tempo, with a clear feeling of rhythmic lilt and sincerity in the phrasing. There was room for even more dynamic differentiation, especially in the quietest passages, but you captured the mysterious character throughout.   Song of Twilight was carefully sustained and pedalling was efficient, though not always wholly discreet. Semiquavers were occasionally uneven and there was room for further consideration of balance, allowing the melody a little more textural freedom. However, this was well shaped and confident playing.  You played with obvious enjoyment, and space between pieces was carefully judged. There was scope for even more refined musical detail and for further consideration of balance, especially in the second piece, but the contrasting styles were firmly delivered.  This was confident and often detailed playing, with obvious stylistic ideas. Well done."
KJwZOJjZ,13-15,Grade 5 and above,"Sonata in D Major, K. 443, L. 418",Domenico Scarlatti,Danny Boy,"Trad. Irish, arr. Nikki Iles",77,"Scarlatti’s Sonata saw tonal brightness and appropriate variation of articulation, helping to shape the line. Occasional blemishes of evenness and clarity in repeated notes were apparent, and pulse stability was briefly compromised at the start of the second half, with a few slips of pitch placement apparent as the half progressed. However, musical intention remained clear throughout, with dynamic contrasts clearly defined and with ornaments very well executed.  ’Danny Boy’ was played with clear melodic projection and a sense of flexibility, both in terms of tempo and tone. Rhythmic distinction was sometimes compromised, however, longer notes not always held for their full value, and use of a wider tonal range would have enhanced the harmonic outline and changes of tonality, with occasional moments of harmonic blurring occurring. Nonetheless, the musical style was in place, and much was accurately played.  Musical involvement and engagement were evident throughout your performance, and the contrasts of style were securely outlined. Despite the occasional technical blemish, much of the delivery was accurate, with textural balancing largely well managed and with musical intention clear throughout.  Congratulations on this assured and very good performance. I particularly enjoyed the expressive melodic shaping in your second piece."
KMElDLNL,7-9,Up to Grade 5,Round and Round,Jung Jae-il,In the Dead of Night,Edmund Jolliffe,78,"The first piece was bold in tone, with the hands well coordinated and the textures well balanced. Phrases had a strong and reliable pulse and generally moved with a sense of direction, though there was room to explore more contoured shaping and a wider range of tonal colours and dynamic invovlement. The performance itself was clean, with the notes accurate in relation to pitch throughout.   In the Dead of Night was mysterious in part, and there was some organised dynamic involvement, though scope for the lyrical and expressive components of the character to be more forthcoming and persuasive, and for the tone to develop the sensitive and meaningful colours more vividly. The ending was well managed though, and the parts were confidently controlled in relation to the rhythms.   The textures were well balanced throughout, with parts clean and confidently projected. The overall sense of performance would have been enhanced by longer framing of the pieces with silence and stillness, allowing the openings and endings more space to breathe. The different musical identities of the pieces came across in part, with some changes of tone and dynamic, but leaving room to be more vivid, capturing the individual characteristics more effectively. The technical demands of the programme were met with positivity.   Thank you for playing - I really appreciated the technical control that you demonstrated and how secure your pieces were in relation to the notes."
KRBZbvBZ,7-9,Up to Grade 5,"Sonatina Op55, No1 (vivace) 2nd movement",Friedrich Kuhlau,Summer,Joe Hisaishi,82,"You brought vibrancy to the opening passages of the Kuhlau Sonatina movement, which was well-defined in terms of articulation and rhythmic lift. Often you brought commendable dexterity and sparkling detail to the figures, though an inclination to hurry through the phrases sometimes affected the otherwise firm rhythmic grounding, and there was scope for more flexibility in shaping the lines. Otherwise this was confident playing.  Summer by Hisaishi opened with solid left-hand control, setting up a driving sense of impetus. As the piece unfolded there were moments when the rhythms required a little more evenness of control, but the dynamic contrasts were effectively achieved, and there was suitable grandeur built up in the middle. A small slip hindered the flow at one stage, and more poise was generally needed in the rhythmic patterns, but a vivid feeling of character was ever-present.  Well-presented, and with a real sense of performance awareness being communicated, you brought vitality and spirit to your playing. Although the flow was slightly undermined by a feeling of rushing at times, the rhythmic detail was largely clear, and the interpretations were sensitively attuned to the styles of the works, with just room for more variety of contour overall.  Congratulations on these engaging performances!"
KWwokJNK,13-15,Grade 5 and above,"Spiritoso, 1st movement from sonatina in C, op36 no3",Muzio Clementi,Love Theme,Catherine Rollin,79,"The Clementi had a bright attack and good sense of rhythmic purpose, with articulation ideas assisting the classical style. Not all of the semiquavers were evenly presented, with hands also calling for extra clarity of coordination. Dynamic involvement was well gauged, giving dramatic moments positive impact.  Love Song was played with sincerity and expressive charm. Pedal gave valuable warmth of tone, with a flexible approach often winning through. Balance did not always favour the top line, and a more consistent cantabile effect could have been of help in regard to phrasing, though it flowed along with good accuracy and grasp of the modern romantic style.  The two pieces contrasted well, demonstrating a clear awareness of the different styles and characters. In delivery, there was a degree of unevenness and inconsistency, which impeded the overall level of sparkle and clarity heard in the playing, and a few extra seconds of repose between items could have been useful. The best playing captured musical detail with imagination and conviction.  Many congratulations on a very good all-round performance, and best wishes for the future!"
KZOdLGna,13-15,Grade 5 and above,Musical Sketch in B flat,Felix Mendelssohn,Lowside Blues,Joanna MacGregor,83,"Musical Sketch flowed well at a sensibly gauged speed, capturing the romantic style ably. Pedal added welcome warmth and colour, with a well balanced texture and clear sense of musical purpose achieved. A still brighter, more colourful tone for the melody could have added to its intensity and poise, though all was accurate and very well under control, with moments of flexibility confidently included.  Lowside Blues had a firmly established pulse and examples of good finger control. It called for extra grittiness in tone and attack, to more fully bring out the laidback, bluesy style, and there was unevenness to the final ascending flourish, but the main musical landmarks in the piece were thoughtfully brought out.  In both pieces there was accuracy and consistency of effect, with style identities brought out and, especially during the Mendelssohn, a clear sense of instinctive engagement. While room remained for additional pizzazz and spontaneity in the second item, there was a well gauged pause between the two pieces and much overall musicality on display.  Many congratulations on this excellent performance!"
KZVbEEnb,10-12,Up to Grade 5,Sunsets in Savannah,Randall Hartsell,Arabesque,Johann Friedrich Burgmüller,73,"The reflective character of Sunsets in Savannah was quickly felt, and the tempo was well judged. There was some feeling of expressive shape in the phrasing, though pedalling lacked efficiency between bars, and there was room for even more dynamic shading. However, a sense of flexibility was more frequently detected in the second half.  The playful character of the Arabesque was conveyed and details of articulation were closely observed. Keeping all semiquavers under even control was a challenge, but the lively tempo was rigorously kept much of the time, and hands worked carefully together.  This was a varied programme, with some feeling of reflective space between pieces. Keeping all faster notes under even control was not quite managed, and there was room for even more musical detail, but hands were well synchronised. A clear feeling of enjoyment was conveyed.  Well done. I especially enjoyed the excitement of the Arabesque."
KaAbrRzE,7-9,Up to Grade 5,The Joker and The Queen,"Ed Sheeran, Samuel Roman, Johnny McDaid, Taylor Swift and Fred Gibson",Spooky Wood Hollow,Heather Hammond,83,"There was a warmth in the opening tone of The Joker and the Queen, and the hands were mostly well balanced. More expressive shaping of the melodic line would have helped to really capture the musical mood but the notes were secure and the ending well managed .  The staccato detail was crisp throughout Spooky Wood Hollow and the hands were well balanced with a clear grasp of the rhythmic swing style in place. Vivid dynamic detail fully supported the character, with a good sense of drive and energy in the performance.  There was a strong sense of engagement with the well contrasted musical characters of your chosen pieces, and this was communicative playing, particularly in the realisation of the musical detail of your second piece.  An assured performance - well done on this excellent result."
