performance_id|piece_1_feedback|piece_2_feedback
VXoPAZdM|['spirited/positive', 'imbalanced/negative', 'unstable/negative', 'underdeveloped/negative', 'recovered/positive']|['well-judged/positive', 'uneven/negative', 'disjointed/negative', 'nuance/negative', 'expressive/positive']
VZEKxnlN|['secure/positive', 'precise/positive', 'controlled/positive', 'reserved/negative', 'poised/positive']|['emotive/positive', 'expressive/positive', 'dexterous/positive', 'unsteady/negative', 'mature/positive']
VaRARAoR|['confident/positive', 'lively/positive', 'unpolished/negative', 'unfocused/negative', 'dynamic/positive']|['bold/positive', 'articulate/positive', 'engaging/positive', 'lyrical/positive', 'pacing/negative']
VeyKmzGk|['lightness/positive', 'clarity/positive', 'confident/positive', 'balance/positive', 'shaping/negative']|['legato/positive', 'projection/positive', 'haunting/positive', 'poise/positive', 'bold/negative']
VklKmmXR|['bold/positive', 'energetic/positive', 'judicious/positive', 'unsteady/negative', 'secure/positive']|['lively/positive', 'detached/positive', 'controlled/positive', 'humour/positive', 'blemishes/negative']
VnnjRVVz|['buoyant/positive', 'articulate/positive', 'clear/positive', 'polished/positive', 'underexplored/negative']|['rhythmic/positive', 'spirited/positive', 'playful/positive', 'focused/negative', 'engaging/positive']
VqlNBybx|['lively/positive', 'buoyancy/positive', 'unfocused/negative', 'confident/positive', 'clarity/positive']|['delicate/positive', 'dynamics/positive', 'expression/positive', 'elasticity/positive', 'improvement/negative']
VrbGdwXB|['crisp/positive', 'alert/positive', 'vivid/positive', 'neat/positive', 'limited/negative']|['smooth/positive', 'sparkling/positive', 'evenness/negative', 'stylish/positive', 'reliable/positive']
VvYDbYWz|['fluid/positive', 'gentle/positive', 'reflective/positive', 'understated/negative', 'flat/negative']|['energetic/positive', 'purposeful/positive', 'varied/positive', 'inconsistent/negative', 'uncertain/negative']
VwxxzWaA|['fluent/positive', 'lively/positive', 'elegant/positive', 'imprecise/negative', 'secure/positive']|['crisp/positive', 'colourful/positive', 'secure/positive', 'inaccurate/negative', 'poised/positive']
WGbKrRRx|['energetic/positive', 'buoyant/positive', 'unconvincing/negative', 'unbalanced/negative', 'colourful/positive']|['secure/positive', 'expressive/positive', 'muted/negative', 'unstructured/negative', 'polished/positive']
WNNZGxlD|['playful/positive', 'evenly/positive', 'cohesive/positive', 'efficient/positive', 'dynamic/positive']|['sustained/positive', 'expressive/positive', 'languid/negative', 'strong/negative', 'sensitively/positive']
WQoQaqNO|['lilt/positive', 'phrasing/positive', 'balanced/positive', 'reliable/positive', 'energy/negative']|['delicate/positive', 'coordinated/positive', 'unevenness/negative', 'fluent/positive', 'lyrical/positive']
WaNLzgGp|['expressive/positive', 'bright/positive', 'colourful/positive', 'uneven/negative', 'awkward/negative']|['driven/positive', 'accurate/positive', 'articulate/positive', 'inconsistent/negative', 'sparkle/negative']
WgjLKqlA|['rustic/positive', 'uneven/negative', 'decisive/positive', 'flexible/positive', 'accurate/positive']|['flow/positive', 'varied/positive', 'unsteady/negative', 'engaging/positive', 'focused/positive']
WlVaxnjk|['assured/positive', 'evenness/positive', 'clarity/positive', 'uneven/negative', 'rush/negative']|['warmth/positive', 'shaping/positive', 'abrupt/negative', 'intrusive/negative', 'convincing/positive']
WlowRDpA|['charismatic/positive', 'vivacious/positive', 'imaginative/positive', 'insightful/positive', 'pizzazz/positive']|['energetic/positive', 'committed/positive', 'groovy/positive', 'gritty/positive', 'clipped/negative']
WnvlLodQ|['rhythmic/positive', 'unhurried/positive', 'assured/positive', 'colorful/positive', 'unpolished/negative']|['tempo/positive', 'articulation/positive', 'attack/negative', 'balance/negative', 'recovery/positive']
WpmXDOLw|['energetic/positive', 'crisp/positive', 'uneven/negative', 'robust/positive', 'focused/positive']|['relaxed/positive', 'flowing/positive', 'angular/negative', 'expressive/positive', 'poise/positive']
WpoYbvxY|['gentle/positive', 'sensitive/positive', 'uneven/negative', 'projection/negative', 'calm/positive']|['crisp/positive', 'buoyancy/positive', 'energy/positive', 'staccato/positive', 'balanced/positive']
WyGpbLPm|['poised/positive', 'balanced/positive', 'expressive/positive', 'tidy/positive', 'precise/positive']|['excellent/positive', 'convincing/positive', 'sparkling/positive', 'inconsistent/negative', 'robust/positive']
WzgnRoXL|['fluid/positive', 'precise/positive', 'articulate/positive', 'understated/negative', 'stylish/positive']|['vigorous/positive', 'delicate/positive', 'smudgy/negative', 'assured/positive', 'bold/positive']
WzvKVmAp|['expressive/positive', 'imprecise/negative', 'hurrying/negative', 'accurate/positive', 'creative/positive']|['measured/positive', 'nimble/positive', 'underenergized/negative', 'uncoordinated/negative', 'reliable/positive']
XAjMmmel|['lively/positive', 'elegance/positive', 'poise/positive', 'hesitation/negative', 'balance/negative']|['buoyant/positive', 'momentum/positive', 'hesitation/negative', 'direction/negative', 'panache/positive']
XBRJjaDe|['authoritative/positive', 'discrepant/negative', 'expressive/positive', 'assured/positive', 'nuanced/positive']|['crisp/positive', 'fluent/positive', 'clarity/positive', 'tempo-variations/negative', 'stillness/negative']
XEYypZRX|['sprightly/positive', 'buoyant/positive', 'uncoordinated/negative', 'underarticulated/negative', 'poised/positive']|['energetic/positive', 'bright/positive', 'balanced/positive', 'fluent/positive', 'effervescent/positive']
XJLkNOgz|['lilting/positive', 'assured/positive', 'convincing/positive', 'detailed/positive', 'uneven/negative']|['lightness/positive', 'security/positive', 'clarity/negative', 'evenness/negative', 'characterful/positive']
XNLWbzxW|['accurate/positive', 'poised/positive', 'uneven/negative', 'imbalanced/negative', 'stylistic/positive']|['calm/positive', 'focused/positive', 'gentle/positive', 'reserved/negative', 'inconsistent/negative']
XOjOgAPk|['adept/positive', 'bright/positive', 'unsteady/negative', 'shaping/positive', 'energetic/positive']|['robust/positive', 'arresting/positive', 'colourful/positive', 'precise/positive', 'convincing/positive']
XVqAjJeQ|['brisk/positive', 'accurate/positive', 'spirited/positive', 'buoyant/positive', 'inconsistent/negative']|['flowing/positive', 'warming/positive', 'blurred/negative', 'erratic/negative', 'cohesive/positive']
XewowpaX|['flexible/positive', 'expressive/positive', 'charming/positive', 'rubato/positive', 'blurred/negative']|['bright/positive', 'articulated/positive', 'undefined/negative', 'inconsistent/negative', 'controlled/positive']
XkpzzbYV|['cohesive/positive', 'efficient/positive', 'uneven/negative', 'incomplete/negative', 'paced/positive']|['lilting/positive', 'reflective/positive', 'synchronized/positive', 'strong/negative', 'expressive/positive']
XmrEdeJe|['assured/positive', 'legato/positive', 'unrhythmic/negative', 'hesitant/negative', 'nuanced/positive']|['elegant/positive', 'clear/positive', 'unrhythmic/negative', 'unsteady/negative', 'lyrical/positive']
XoDDzyqr|['balanced/positive', 'rubato/positive', 'shaping/positive', 'intonation/negative', 'rhythm/negative']|['lightness/positive', 'playfulness/positive', 'staccato/positive', 'unevenness/negative', 'buoyancy/positive']
XyxGYJxp|['steady/positive', 'coordinated/positive', 'untidy/negative', 'fluent/positive', 'inconsistent/negative']|['clear/positive', 'reliable/positive', 'balanced/positive', 'unsteady/negative', 'dynamic/positive']
YDDQEnXy|['agile/positive', 'lively/positive', 'balanced/positive', 'reliable/positive', 'reserved/negative']|['precise/positive', 'delicate/positive', 'controlled/positive', 'fluent/positive', 'undetailed/negative']
YDZVKdAq|['bright/positive', 'secure/positive', 'vivacious/positive', 'imprecise/negative', 'focused/positive']|['crisp/positive', 'confident/positive', 'poised/positive', 'uneven/negative', 'expressive/positive']
ZKvzdogJ|['flowing/positive', 'deviations/negative', 'unevenness/negative', 'pedal/positive', 'pulse/negative']|['accomplished/positive', 'confident/positive', 'engaging/positive', 'expressive/positive', 'polished/positive']
ZORLYBjj|['lively/positive', 'bold/positive', 'characterful/positive', 'spirited/positive', 'uneven/negative']|['sensitively/positive', 'flowing/positive', 'warm/positive', 'secure/positive', 'delayed/negative']
ZYbWmGkk|['textured/positive', 'clear/positive', 'tidy/positive', 'expressive/positive', 'subdued/negative']|['relaxed/positive', 'swing/positive', 'misplacements/negative', 'voicing/negative', 'clarity/positive']
ZrwqwLVD|['smooth/positive', 'balanced/positive', 'articulation/positive', 'coordinated/positive', 'vibrant/positive']|['calm/positive', 'atmospheric/positive', 'controlled/positive', 'blurring/negative', 'lyrical/positive']
aAJQAlZg|['lilting/positive', 'gentle/positive', 'unstable/negative', 'directionless/negative', 'together/positive']|['energised/positive', 'clear/positive', 'fragile/negative', 'conclusive/positive', 'colourless/negative']
aEvJoolk|['spirited/positive', 'bright/positive', 'unevenness/negative', 'ornamentation/positive', 'colour/positive']|['hushed/positive', 'urgent/negative', 'controlled/positive', 'convincing/negative', 'contrast/positive']
aMVJMWWb|['witty/positive', 'stylistic/positive', 'engaging/positive', 'nimble/positive', 'accurate/positive']|['characterful/positive', 'attack/positive', 'pizzazz/positive', 'exuberant/positive', 'jazzy/positive']
aOzPnxOe|['luminous/positive', 'fluent/positive', 'shaped/positive', 'uneven/negative', 'convincing/positive']|['playful/positive', 'light/positive', 'precise/positive', 'confident/positive', 'underexplored/negative']
aRyxMGmJ|['bright/positive', 'lively/positive', 'firm/positive', 'robust/positive', 'contrast/negative']|['legato/positive', 'pedalling/positive', 'confident/positive', 'focused/positive', 'flexibility/negative']
aVYdQlxV|['Crisp/positive', 'Articulate/positive', 'Agile/positive', 'Blemish/negative', 'Poised/positive']|['Engaging/positive', 'Professional/positive', 'Dynamic/positive', 'Vivacious/positive', 'Persuasive/positive']
aVlGbqxz|['tenderness/positive', 'balanced/positive', 'clarity/positive', 'slowness/negative', 'uneasy/negative']|['expressive/positive', 'lyricism/positive', 'accurate/positive', 'slower/negative', 'uneasy/negative']
aWOyMVMM|['articulated/positive', 'secure/positive', 'bold/negative', 'phrasing/positive', 'definition/positive']|['lively/positive', 'ease/positive', 'flow/positive', 'rushing/negative', 'central/negative']
abQwbqdr|['bright/positive', 'light/positive', 'neat/positive', 'confident/positive', 'uneven/negative']|['sprightly/positive', 'jaunty/positive', 'buoyant/positive', 'engaging/positive', 'lacking/negative']
aexxEDQR|['sensitive/positive', 'intense/positive', 'defined/positive', 'smudged/negative', 'expressive/positive']|['flamboyant/positive', 'precise/positive', 'errors/negative', 'forthright/positive', 'professional/positive']
ajVAXwQO|['controlled/positive', 'accurate/positive', 'frenetic/negative', 'imprecise/negative', 'energetic/positive']|['lyrical/positive', 'rubato/positive', 'misplacements/negative', 'blur/negative', 'focused/positive']
aonWnDPe|['steady/positive', 'slip/negative', 'spirited/positive', 'confident/positive', 'flow/positive']|['crisp/positive', 'clear/positive', 'dynamic/positive', 'irregular/negative', 'expressive/positive']
araXWMwG|['crisp/positive', 'light/positive', 'colourful/positive', 'shapely/positive', 'stylish/positive']|['expressive/positive', 'colourful/positive', 'melodic/positive', 'firm/negative', 'nuanced/positive']
bRogakON|['accurate/positive', 'articulate/positive', 'projected/positive', 'uneven/negative', 'tidier/negative']|['expressive/positive', 'vivid/positive', 'imprecise/negative', 'stumbles/negative', 'colourful/positive']
bXGznzWr|['well-paced/positive', 'characterful/positive', 'unbalanced/negative', 'fluent/positive', 'assured/positive']|['sombre/positive', 'legato/positive', 'rubato/negative', 'imbalanced/negative', 'ornate/positive']
bXgaxKVj|['colourful/positive', 'secure/positive', 'focused/positive', 'energetic/positive', 'uneasy/negative']|['lyrical/positive', 'expressive/positive', 'projected/positive', 'untidy/negative', 'poignant/positive']
blYXXQMo|['articulate/positive', 'vibrant/positive', 'stylish/positive', 'imprecise/negative', 'poised/positive']|['dynamic/positive', 'elegant/positive', 'balanced/positive', 'bright/positive', 'understated/negative']
blYaZAgM|['playful/positive', 'dialogue/positive', 'inconsistent/negative', 'weightless/negative', 'expressive/positive']|['exuberant/positive', 'colourful/positive', 'smudges/negative', 'limited/negative', 'confident/positive']
bmeZkqvv|['bright/positive', 'clarity/positive', 'crisp/positive', 'inconsistent/negative', 'rushed/negative']|['assured/positive', 'staccato/positive', 'overbright/negative', 'untidy/negative', 'bold/positive']
bpjalxzZ|['fluent/positive', 'energetic/positive', 'neat/positive', 'over-projected/negative', 'varied/positive']|['confident/positive', 'bright/positive', 'heavy/negative', 'detached/negative', 'graded/positive']
bqrkLARK|['unhurried/positive', 'unstable/negative', 'unified/positive', 'reflective/positive', 'enjoyment/positive']|['energetic/positive', 'uneven/negative', 'refined/positive', 'coordinated/positive', 'inconsistent/negative']
dABdwvXA|['poised/positive', 'warm/positive', 'highlighted/positive', 'thoughtful/positive', 'nuanced/positive']|['confident/positive', 'clouded/negative', 'spacious/positive', 'expressive/positive', 'ethereal/positive']
dBoOQwnY|['crisp/positive', 'bold/positive', 'colourful/positive', 'engaging/positive', 'imprecise/negative']|['lively/positive', 'accurate/positive', 'dynamic/positive', 'unsteady/negative', 'promising/positive']
dDXpnbKB|['bold/positive', 'precise/positive', 'cautious/negative', 'static/negative', 'effective/positive']|['expressive/positive', 'balanced/positive', 'poised/positive', 'careful/positive', 'flow/negative']
dVvGLwAZ|['energetic/positive', 'rhythmic/positive', 'quirky/positive', 'flair/positive', 'imbalanced/negative']|['controlled/positive', 'expressive/positive', 'warm/positive', 'decisive/positive', 'inconsistent/negative']
dVzbZZgV|['smooth/positive', 'fluent/positive', 'expressive/positive', 'dynamic/positive', 'controlled/positive']|['driven/positive', 'coordinated/positive', 'momentum/positive', 'pulse/negative', 'confident/positive']
dYxJkYRW|['bright/positive', 'focused/positive', 'inconsistent/negative', 'irregular/negative', 'vivid/positive']|['bold/positive', 'colorful/positive', 'unsteady/negative', 'fragile/negative', 'authentic/positive']
dezEwVPR|['bright/positive', 'contouring/positive', 'intonation/negative', 'inconsistent/negative', 'ornamentation/positive']|['contrasting/positive', 'projection/positive', 'phrasing/positive', 'overrubato/negative', 'accuracy/positive']
dkNMgOaq|['purposeful/positive', 'austere/positive', 'unsubtle/negative', 'capable/positive', 'convincing/positive']|['controlled/positive', 'energetic/positive', 'confident/positive', 'sprightly/positive', 'heavy-handed/negative']
doXYGXKj|['synchronised/positive', 'articulate/positive', 'polished/positive', 'stylish/positive', 'cheeky/positive']|['expressive/positive', 'colourful/positive', 'soulful/positive', 'lapse/negative', 'secure/positive']
eAjZqAwq|['buoyant/positive', 'energetic/positive', 'crisp/positive', 'inconsistent/negative', 'expressive/positive']|['tender/positive', 'reflective/positive', 'legato/positive', 'poised/positive', 'uneven/negative']
edlNBqbx|['accurate/positive', 'creative/positive', 'evenness/negative', 'verve/positive', 'panache/positive']|['precise/positive', 'control/positive', 'articulation/negative', 'dynamics/negative', 'jocular/positive']
ejLrnonO|['expressive/positive', 'clear/positive', 'controlled/positive', 'imprecise/negative', 'overdone/negative']|['bold/positive', 'clear/positive', 'varied/positive', 'imprecise/negative', 'jogged/negative']
empQpgJl|['expressive/positive', 'bold/positive', 'convincing/positive', 'robust/positive', 'monotone/negative']|['bright/positive', 'energetic/positive', 'bold/positive', 'stagnant/negative', 'tidy/negative']
eyGNgaGw|['expressive/positive', 'secure/positive', 'contoured/positive', 'inconsistent/negative', 'imprecise/negative']|['delicate/positive', 'clear/positive', 'poised/positive', 'laboured/negative', 'flexible/negative']
gBJQLAJq|['forward-flowing/positive', 'synchronised/positive', 'unevenness/negative', 'elegance/negative', 'dramatic/positive']|['uplifting/positive', 'crisp/positive', 'overshadowed/negative', 'rubato/positive', 'slip/negative']
gDoZkXyY|['lyrical/positive', 'expressive/positive', 'balanced/positive', 'unstable/negative', 'unclear/negative']|['bright/positive', 'adept/positive', 'jazzy/positive', 'blemishes/negative', 'assured/positive']
gDonwArb|['projected/positive', 'accurate/positive', 'prominent/negative', 'committed/positive', 'shape/positive']|['brisk/positive', 'lively/positive', 'smudge/negative', 'controlled/positive', 'contrast/positive']
gGDvKvdN|['brisk/positive', 'agile/positive', 'bright/positive', 'precise/positive', 'polished/positive']|['steady/positive', 'lilting/positive', 'balanced/positive', 'expressive/positive', 'rubato/positive']
gXjJGLMP|['flow/positive', 'ethereal/positive', 'smudged/negative', 'hasty/negative', 'warm/positive']|['projected/positive', 'sweet/positive', 'untidy/negative', 'unclear/negative', 'poised/positive']
gYyyxZnl|['polished/positive', 'phrasing/positive', 'motifs/positive', 'articulation/positive', 'momentum/negative']|['expressive/positive', 'fluidity/positive', 'nuances/positive', 'confident/positive', 'presence/positive']
gmrZXPmp|['engergised/positive', 'fluent/positive', 'articulated/positive', 'rhythm/negative', 'pitch/positive']|['lyrical/positive', 'atmospheric/positive', 'confident/positive', 'poise/positive', 'inconsistencies/negative']
gpJWeyXz|['bright/positive', 'clean/positive', 'coordinated/positive', 'accurate/positive', 'clipped/negative']|['smooth/positive', 'delicate/positive', 'rushed/negative', 'controlled/positive', 'poised/positive']
gqAjOrGw|['balanced/positive', 'precise/positive', 'neatly-placed/positive', 'colourful/positive', 'reduced-legato/negative']|['coloristic/positive', 'delicate/positive', 'fluid/positive', 'impressive/positive', 'underwhelming/negative']
groQNxKL|['serene/positive', 'accurate/positive', 'imbalanced/negative', 'expressive/positive', 'cantabile/positive']|['soothing/positive', 'enterprising/positive', 'understated/negative', 'dominant/negative', 'precise/positive']
jBRrNZqa|['confident/positive', 'crisp/positive', 'flamboyance/positive', 'blurring/negative', 'assurance/positive']|['subtlety/negative', 'tapering/negative', 'poise/positive', 'fluency/positive', 'vigour/positive']
jVErdOxz|['strong/positive', 'incisive/positive', 'expressive/positive', 'vibrant/positive', 'cohesive/positive']|['clear/positive', 'nuanced/positive', 'bold/positive', 'controlled/positive', 'imprecise/negative']
jjMBwgjn|['flair/positive', 'even/positive', 'inconsistency/negative', 'clarity/negative', 'poised/positive']|['rubato/positive', 'tonality/positive', 'focus/positive', 'slips/negative', 'consistency/negative']
jldpvzkW|['expressive/positive', 'dynamic/positive', 'climactic/positive', 'rubato/positive', 'uneven/negative']|['articulation/positive', 'momentum/positive', 'conviction/positive', 'unsettled/negative', 'inconsistent/negative']
jvDAORWz|['expressive/positive', 'dramatic/positive', 'secure/positive', 'focused/positive', 'unsteady/negative']|['evocative/positive', 'flexible/positive', 'lucid/positive', 'precise/positive', 'understated/negative']
jwEKVKll|['shaped/positive', 'articulation/positive', 'phrasing/positive', 'balanced/positive', 'untidy/negative']|['assured/positive', 'bold/positive', 'distinct/positive', 'transitions/positive', 'rushed/negative']
jxdaKZMr|['confident/positive', 'coordinated/positive', 'rhythmic/positive', 'hesitancy/negative', 'restrained/negative']|['bright/positive', 'precise/positive', 'cohesive/positive', 'rhythmic/positive', 'premature/negative']
jyEXpNaB|['energetic/positive', 'cohesive/positive', 'legato/positive', 'flexible/positive', 'unsteady/negative']|['warm/positive', 'lyrical/positive', 'balanced/positive', 'inconsistent/negative', 'expressive/positive']
kANEVmYZ|['fluent/positive', 'coordinated/positive', 'legato/positive', 'untidy/negative', 'restrained/negative']|['careful/positive', 'neat/positive', 'cautious/negative', 'hesitant/negative', 'secure/positive']
kKxQrNzO|['expressive/positive', 'confident/positive', 'stylish/positive', 'energised/positive', 'unevenness/negative']|['buoyant/positive', 'consistent/positive', 'determined/positive', 'disruptive/negative', 'fragile/negative']
kLVxbZoJ|['vivid/positive', 'secure/positive', 'uneven/negative', 'misplacement/negative', 'convincing/positive']|['poised/positive', 'focused/positive', 'blemishes/negative', 'inconsistent/negative', 'colourful/positive']
kLpLXWmw|['secure/positive', 'unsteady/negative', 'articulate/positive', 'spirited/positive', 'limited/negative']|['brisk/positive', 'secure/positive', 'articulation/positive', 'unbalanced/negative', 'engaging/positive']
kOzwAbGb|['lively/positive', 'accurate/positive', 'imprecise/negative', 'uneven/negative', 'dance-like/positive']|['melancholy/positive', 'mystery/positive', 'steady/positive', 'hurried/negative', 'delicate/positive']
kQYdgppD|['sparkling/positive', 'clarity/positive', 'detail/positive', 'dexterity/positive', 'unevenness/negative']|['flow/positive', 'rubato/positive', 'sensitivity/positive', 'conviction/positive', 'space/negative']
keDVqKOw|['sensitive/positive', 'unsteady/negative', 'lyrical/positive', 'insightful/positive', 'cohesive/positive']|['energetic/positive', 'vivid/positive', 'uneven/negative', 'engaged/positive', 'accurate/positive']
keXBOaOK|['brilliant/positive', 'lively/positive', 'energetic/positive', 'coordinated/positive', 'limited/negative']|['delicate/positive', 'controlled/positive', 'nuanced/positive', 'assured/positive', 'engaging/positive']
klQPDrPG|['buoyant/positive', 'expressive/positive', 'monotone/negative', 'lively/positive', 'inconsistent/negative']|['energetic/positive', 'untidy/negative', 'precise/positive', 'confident/positive', 'varied/positive']
knnQrXNJ|['nuanced/positive', 'tasteful/positive', 'expressive/positive', 'detached/negative', 'imbalance/negative']|['steady/positive', 'projected/positive', 'rigid/negative', 'colorful/positive', 'cohesive/positive']
kvODDEKJ|['energetic/positive', 'articulate/positive', 'misaligned/negative', 'uneven/negative', 'poised/positive']|['elegant/positive', 'graceful/positive', 'rushed/negative', 'stumbles/negative', 'shaping/positive']
lBmRMGaP|['bright/positive', 'fluent/positive', 'controlled/positive', 'secure/positive', 'precise/positive']|['cohesive/positive', 'momentum/positive', 'incisive/negative', 'balanced/positive', 'crisp/positive']
lDvgbqRr|['lively/positive', 'clarity/positive', 'rigid/negative', 'colour/negative', 'contrast/negative']|['bounce/positive', 'articulation/positive', 'heavy/negative', 'colour/positive', 'contrast/negative']
lENjnpZo|['regal/positive', 'confident/positive', 'projection/negative', 'delicacy/negative', 'drama/positive']|['lilting/positive', 'flexible/positive', 'dancing/positive', 'nuanced/positive', 'poised/positive']
lEZeRxmw|['flexible/positive', 'buoyant/positive', 'pitchy/negative', 'inconsistent/negative', 'dull/negative']|['vivacious/positive', 'bright/positive', 'insecure/negative', 'composed/positive', 'erratic/negative']
lKPwWWPn|['expressive/positive', 'lyrical/positive', 'rubato/negative', 'pedal/negative', 'secure/positive']|['accurate/positive', 'continuous/positive', 'slower/negative', 'louder/negative', 'inconsistent/negative']
lXdjPvJO|['evocative/positive', 'dynamic/positive', 'imbalanced/negative', 'unclear/negative', 'stagnant/negative']|['crisp/positive', 'bold/positive', 'colourful/positive', 'lyrical/positive', 'unbalanced/negative']
lXnkxDrE|['Energetic/positive', 'Convincing/positive', 'Uneven/negative', 'Insecure/negative', 'Vitality/positive']|['Haunting/positive', 'Cantabile/positive', 'Judicious/positive', 'Unsteady/negative', 'Sonorous/positive']
laPRZaJK|['Spirited/positive', 'Vital/positive', 'Compelling/positive', 'Imprecise/negative', 'Inconsistent/negative']|['Weighty/positive', 'Solid/positive', 'Dynamic/positive', 'Well-defined/positive', 'Uneven/negative']
lxmjgNoV|['legato/positive', 'balanced/positive', 'secure/positive', 'shaping/negative', 'detail/negative']|['sustained/positive', 'dynamic/positive', 'projected/negative', 'cautious/negative', 'memorised/positive']
mAnOWAke|['elegant/positive', 'assured/positive', 'fluent/positive', 'slip/negative', 'projection/negative']|['grasped/positive', 'distinct/positive', 'unbalanced/negative', 'insufficient/negative', 'energetic/negative']
mPDwZxBr|['spirited/positive', 'buoyancy/positive', 'slip/negative', 'emphatic/positive', 'inconsistency/negative']|['melodic/positive', 'legato/positive', 'fluency/positive', 'persuasive/positive', 'assurance/positive']
mXXOzyqg|['confident/positive', 'assured/positive', 'distinctive/positive', 'attack/negative', 'dynamics/negative']|['expressive/positive', 'dreamy/positive', 'balance/negative', 'nuances/negative', 'phrasing/positive']
mXylBYro|['elegance/positive', 'flow/positive', 'confident/positive', 'inconsistency/negative', 'climax/positive']|['energy/positive', 'bounce/positive', 'contrast/negative', 'articulation/positive', 'vitality/positive']
mazlbJYZ|['graceful/positive', 'tasteful/positive', 'even/positive', 'controlled/positive', 'underdeveloped/negative']|['rubato/positive', 'elegant/positive', 'defined/positive', 'faltering/negative', 'intensity/negative']
mkDrBewA|['vibrant/positive', 'articulated/positive', 'crisp/positive', 'confident/positive', 'inconsistent/negative']|['flowing/positive', 'accurate/positive', 'atmospheric/positive', 'blurred/negative', 'lacking/negative']
nAoplGjW|['controlled/positive', 'rhythmic/positive', 'confident/positive', 'rushed/negative', 'swagger/positive']|['percussive/positive', 'precise/positive', 'expressive/positive', 'dynamic/positive', 'rushed/negative']
nBraKlAA|['expressive/positive', 'cohesive/positive', 'assured/positive', 'controlled/positive', 'improvement/negative']|['expressive/positive', 'developing/positive', 'directed/positive', 'characterful/positive', 'poised/positive']
nDRxXzyk|['staccato/positive', 'secure/positive', 'fluent/positive', 'underdeveloped/negative', 'sensitive/positive']|['vibrant/positive', 'bright/positive', 'momentum/positive', 'lacking/negative', 'conveyed/positive']
nLYkoaga|['sombre/positive', 'soft/positive', 'projection/negative', 'blurred/negative', 'improvement/positive']|['tarantella/positive', 'articulate/positive', 'lively/positive', 'involvement/positive', 'personality/positive']
nLyGkbkG|['precise/positive', 'coordinated/positive', 'controlled/positive', 'sluggish/negative', 'monotone/negative']|['evocative/positive', 'energised/positive', 'uneven/negative', 'lagging/negative', 'understated/negative']
nQakMNZB|['sweet/positive', 'sensitive/positive', 'coordinated/positive', 'poised/positive', 'assured/positive']|['depth/positive', 'steady/positive', 'shaped/positive', 'sparkle/positive', 'overemphasised/negative']
nWxWwzXB|['sensitive/positive', 'robust/positive', 'accurate/positive', 'poised/positive', 'inconsistency/negative']|['crisp/positive', 'firm/positive', 'grounded/positive', 'inconsistency/negative', 'projection/positive']
naRgDWpb|['momentum/positive', 'buoyant/positive', 'emerging/positive', 'imprecise/negative', 'understated/negative']|['lively/positive', 'flowing/positive', 'characterful/positive', 'imbalanced/negative', 'stillness/negative']
nbkpKzrb|['expressive/positive', 'poised/positive', 'flowing/positive', 'sensitive/positive', 'stilted/negative']|['descriptive/positive', 'measured/positive', 'rhythmic/positive', 'dynamic/positive', 'intense/positive']
nnvPoNkX|['paced/positive', 'precise/positive', 'expressive/positive', 'stumble/negative', 'stable/positive']|['drive/positive', 'aggression/negative', 'detail/positive', 'in-tune/positive', 'fluency/positive']
nrXQQeRx|['nimble/positive', 'buoyant/positive', 'accurate/positive', 'decisive/positive', 'hurrying/negative']|['detailed/positive', 'characterful/positive', 'precise/positive', 'enthusiastic/positive', 'uneven/negative']
nvLDYLOk|['articulation/positive', 'energetic/positive', 'nuanced/positive', 'poised/positive', 'deviation/negative']|['sensitive/positive', 'imaginative/positive', 'accurate/positive', 'misjudgement/negative', 'expressive/positive']
nwvogkjE|['brisk/positive', 'dynamic/positive', 'characterful/positive', 'inconsistent/negative', 'drawn-out/negative']|['accurate/positive', 'stumbles/negative', 'blurred/negative', 'warm/positive', 'poised/positive']
nzQokKxY|['focused/positive', 'secure/positive', 'lyrical/positive', 'bold/positive', 'inconsistent/negative']|['projected/positive', 'cohesive/positive', 'colorful/positive', 'expressive/positive', 'overlooked/negative']
oBmkkmYw|['assured/positive', 'even/positive', 'fluent/positive', 'unenergetic/negative', 'underexpressive/negative']|['legato/positive', 'grasp/positive', 'unrefined/negative', 'blurred/negative', 'unexpressive/negative']
oJXbzVqG|['precise/positive', 'energetic/positive', 'uneven/negative', 'insecure/negative']|['bold/positive', 'swing/negative', 'paced/positive', 'colorful/positive', 'unclear/negative']
oLglGezP|['buoyant/positive', 'precise/positive', 'stumbles/negative', 'instability/negative', 'engaging/positive']|['warm/positive', 'relaxed/positive', 'missed/negative', 'balanced/positive', 'expressive/positive']
oNDzZOLg|['energetic/positive', 'robust/positive', 'uneven/negative', 'lyrical/positive', 'assured/positive']|['elegant/positive', 'fluent/positive', 'shaping/positive', 'engaging/positive', 'uncoordinated/negative']
odmZXaMy|['elegant/positive', 'refined/positive', 'controlled/positive', 'understated/negative', 'potential/positive']|['delicate/positive', 'calm/positive', 'coordinated/positive', 'buoyancy/positive', 'split/negative']
ojOrMVzW|['articulate/positive', 'buoyant/positive', 'fluent/positive', 'coordinated/positive', 'underpowered/negative']|['legato/positive', 'colourful/positive', 'precise/positive', 'engaged/positive', 'unrefined/negative']
oqWBMvrX|['cohesive/positive', 'warm/positive', 'projected/positive', 'fluid/positive', 'limited/negative']|['legato/positive', 'momentum/positive', 'overpowering/negative', 'hesitations/negative', 'expressive/positive']
